Timestamp, Speed
2023-02-04 00:48:32.202645,1.0 kilometer_per_hour
2023-02-04 00:48:32.242504,2.0 kilometer_per_hour
2023-02-04 00:48:32.283294,2.0 kilometer_per_hour
2023-02-04 00:48:32.322522,2.0 kilometer_per_hour
2023-02-04 00:48:32.362937,2.0 kilometer_per_hour
2023-02-04 00:48:32.402517,2.0 kilometer_per_hour
2023-02-04 00:48:32.442706,2.0 kilometer_per_hour
2023-02-04 00:48:32.483136,2.0 kilometer_per_hour
2023-02-04 00:48:32.522716,2.0 kilometer_per_hour
2023-02-04 00:48:32.562787,2.0 kilometer_per_hour
2023-02-04 00:48:32.602711,2.0 kilometer_per_hour
2023-02-04 00:48:32.642790,2.0 kilometer_per_hour
2023-02-04 00:48:32.682686,2.0 kilometer_per_hour
2023-02-04 00:48:32.722793,3.0 kilometer_per_hour
2023-02-04 00:48:32.762798,3.0 kilometer_per_hour
2023-02-04 00:48:32.803203,3.0 kilometer_per_hour
2023-02-04 00:48:32.843429,3.0 kilometer_per_hour
2023-02-04 00:48:32.882730,3.0 kilometer_per_hour
2023-02-04 00:48:32.923095,3.0 kilometer_per_hour
2023-02-04 00:48:32.962711,3.0 kilometer_per_hour
2023-02-04 00:48:33.002733,3.0 kilometer_per_hour
2023-02-04 00:48:33.042826,3.0 kilometer_per_hour
2023-02-04 00:48:33.082757,3.0 kilometer_per_hour
2023-02-04 00:48:33.122853,3.0 kilometer_per_hour
2023-02-04 00:48:33.162887,4.0 kilometer_per_hour
2023-02-04 00:48:33.202937,4.0 kilometer_per_hour
2023-02-04 00:48:33.243260,4.0 kilometer_per_hour
2023-02-04 00:48:33.282847,4.0 kilometer_per_hour
2023-02-04 00:48:33.322929,4.0 kilometer_per_hour
2023-02-04 00:48:33.363283,4.0 kilometer_per_hour
2023-02-04 00:48:33.402950,4.0 kilometer_per_hour
2023-02-04 00:48:33.442831,4.0 kilometer_per_hour
2023-02-04 00:48:33.482908,4.0 kilometer_per_hour
2023-02-04 00:48:33.523016,4.0 kilometer_per_hour
2023-02-04 00:48:33.562919,5.0 kilometer_per_hour
2023-02-04 00:48:33.603019,5.0 kilometer_per_hour
2023-02-04 00:48:33.643769,5.0 kilometer_per_hour
2023-02-04 00:48:33.683358,5.0 kilometer_per_hour
2023-02-04 00:48:33.722925,5.0 kilometer_per_hour
2023-02-04 00:48:33.763007,5.0 kilometer_per_hour
2023-02-04 00:48:33.803922,5.0 kilometer_per_hour
2023-02-04 00:48:33.842989,5.0 kilometer_per_hour
2023-02-04 00:48:33.883029,5.0 kilometer_per_hour
2023-02-04 00:48:33.922892,5.0 kilometer_per_hour
2023-02-04 00:48:33.963051,5.0 kilometer_per_hour
2023-02-04 00:48:34.003018,5.0 kilometer_per_hour
2023-02-04 00:48:34.043015,5.0 kilometer_per_hour
2023-02-04 00:48:34.083104,5.0 kilometer_per_hour
2023-02-04 00:48:34.123550,5.0 kilometer_per_hour
2023-02-04 00:48:34.162990,6.0 kilometer_per_hour
2023-02-04 00:48:34.203012,6.0 kilometer_per_hour
2023-02-04 00:48:34.243450,6.0 kilometer_per_hour
2023-02-04 00:48:34.283026,6.0 kilometer_per_hour
2023-02-04 00:48:34.323088,6.0 kilometer_per_hour
2023-02-04 00:48:34.363182,6.0 kilometer_per_hour
2023-02-04 00:48:34.403205,6.0 kilometer_per_hour
2023-02-04 00:48:34.444020,6.0 kilometer_per_hour
2023-02-04 00:48:34.483017,6.0 kilometer_per_hour
2023-02-04 00:48:34.523188,6.0 kilometer_per_hour
2023-02-04 00:48:34.563615,6.0 kilometer_per_hour
2023-02-04 00:48:34.603230,6.0 kilometer_per_hour
2023-02-04 00:48:34.643292,6.0 kilometer_per_hour
2023-02-04 00:48:34.683738,6.0 kilometer_per_hour
2023-02-04 00:48:34.723160,6.0 kilometer_per_hour
2023-02-04 00:48:34.763177,6.0 kilometer_per_hour
2023-02-04 00:48:34.803256,6.0 kilometer_per_hour
2023-02-04 00:48:34.843231,7.0 kilometer_per_hour
2023-02-04 00:48:34.883322,7.0 kilometer_per_hour
2023-02-04 00:48:34.923518,7.0 kilometer_per_hour
2023-02-04 00:48:34.963445,7.0 kilometer_per_hour
2023-02-04 00:48:35.004194,7.0 kilometer_per_hour
2023-02-04 00:48:35.043441,7.0 kilometer_per_hour
2023-02-04 00:48:35.083499,7.0 kilometer_per_hour
2023-02-04 00:48:35.124283,7.0 kilometer_per_hour
2023-02-04 00:48:35.163500,7.0 kilometer_per_hour
2023-02-04 00:48:35.203452,7.0 kilometer_per_hour
2023-02-04 00:48:35.244078,7.0 kilometer_per_hour
2023-02-04 00:48:35.283665,7.0 kilometer_per_hour
2023-02-04 00:48:35.323559,7.0 kilometer_per_hour
2023-02-04 00:48:35.363636,7.0 kilometer_per_hour
2023-02-04 00:48:35.403599,7.0 kilometer_per_hour
2023-02-04 00:48:35.444171,7.0 kilometer_per_hour
2023-02-04 00:48:35.484242,7.0 kilometer_per_hour
2023-02-04 00:48:35.524306,7.0 kilometer_per_hour
2023-02-04 00:48:35.564392,7.0 kilometer_per_hour
2023-02-04 00:48:35.603661,7.0 kilometer_per_hour
2023-02-04 00:48:35.643558,7.0 kilometer_per_hour
2023-02-04 00:48:35.683819,7.0 kilometer_per_hour
2023-02-04 00:48:35.723727,8.0 kilometer_per_hour
2023-02-04 00:48:35.763805,8.0 kilometer_per_hour
2023-02-04 00:48:35.803767,8.0 kilometer_per_hour
2023-02-04 00:48:35.843814,8.0 kilometer_per_hour
2023-02-04 00:48:35.884232,8.0 kilometer_per_hour
2023-02-04 00:48:35.923766,8.0 kilometer_per_hour
2023-02-04 00:48:35.963828,8.0 kilometer_per_hour
2023-02-04 00:48:36.004755,8.0 kilometer_per_hour
2023-02-04 00:48:36.043852,8.0 kilometer_per_hour
2023-02-04 00:48:36.084585,8.0 kilometer_per_hour
2023-02-04 00:48:36.123806,8.0 kilometer_per_hour
2023-02-04 00:48:36.164527,8.0 kilometer_per_hour
2023-02-04 00:48:36.204035,8.0 kilometer_per_hour
2023-02-04 00:48:36.243799,8.0 kilometer_per_hour
2023-02-04 00:48:36.283882,8.0 kilometer_per_hour
2023-02-04 00:48:36.324360,8.0 kilometer_per_hour
2023-02-04 00:48:36.363860,8.0 kilometer_per_hour
2023-02-04 00:48:36.403786,9.0 kilometer_per_hour
2023-02-04 00:48:36.444181,9.0 kilometer_per_hour
2023-02-04 00:48:36.483926,9.0 kilometer_per_hour
2023-02-04 00:48:36.523935,9.0 kilometer_per_hour
2023-02-04 00:48:36.563966,9.0 kilometer_per_hour
2023-02-04 00:48:36.603988,9.0 kilometer_per_hour
2023-02-04 00:48:36.644681,9.0 kilometer_per_hour
2023-02-04 00:48:36.683882,9.0 kilometer_per_hour
2023-02-04 00:48:36.724113,9.0 kilometer_per_hour
2023-02-04 00:48:36.764999,9.0 kilometer_per_hour
2023-02-04 00:48:36.803984,9.0 kilometer_per_hour
2023-02-04 00:48:36.844058,9.0 kilometer_per_hour
2023-02-04 00:48:36.884991,9.0 kilometer_per_hour
2023-02-04 00:48:36.924069,9.0 kilometer_per_hour
2023-02-04 00:48:36.964142,9.0 kilometer_per_hour
2023-02-04 00:48:37.004057,10.0 kilometer_per_hour
2023-02-04 00:48:37.044136,10.0 kilometer_per_hour
2023-02-04 00:48:37.084030,10.0 kilometer_per_hour
2023-02-04 00:48:37.124124,10.0 kilometer_per_hour
2023-02-04 00:48:37.164049,10.0 kilometer_per_hour
2023-02-04 00:48:37.204982,10.0 kilometer_per_hour
2023-02-04 00:48:37.244049,10.0 kilometer_per_hour
2023-02-04 00:48:37.284128,10.0 kilometer_per_hour
2023-02-04 00:48:37.324563,10.0 kilometer_per_hour
2023-02-04 00:48:37.363946,10.0 kilometer_per_hour
2023-02-04 00:48:37.404037,10.0 kilometer_per_hour
2023-02-04 00:48:37.444103,10.0 kilometer_per_hour
2023-02-04 00:48:37.484200,10.0 kilometer_per_hour
2023-02-04 00:48:37.524119,10.0 kilometer_per_hour
2023-02-04 00:48:37.564065,10.0 kilometer_per_hour
2023-02-04 00:48:37.604554,10.0 kilometer_per_hour
2023-02-04 00:48:37.644604,11.0 kilometer_per_hour
2023-02-04 00:48:37.684389,11.0 kilometer_per_hour
2023-02-04 00:48:37.724304,11.0 kilometer_per_hour
2023-02-04 00:48:37.764639,11.0 kilometer_per_hour
2023-02-04 00:48:37.804210,11.0 kilometer_per_hour
2023-02-04 00:48:37.844294,11.0 kilometer_per_hour
2023-02-04 00:48:37.884182,11.0 kilometer_per_hour
2023-02-04 00:48:37.924452,11.0 kilometer_per_hour
2023-02-04 00:48:37.964945,11.0 kilometer_per_hour
2023-02-04 00:48:38.004205,11.0 kilometer_per_hour
2023-02-04 00:48:38.044379,11.0 kilometer_per_hour
2023-02-04 00:48:38.084820,11.0 kilometer_per_hour
2023-02-04 00:48:38.124366,11.0 kilometer_per_hour
2023-02-04 00:48:38.164455,11.0 kilometer_per_hour
2023-02-04 00:48:38.204936,11.0 kilometer_per_hour
2023-02-04 00:48:38.244465,11.0 kilometer_per_hour
2023-02-04 00:48:38.284370,11.0 kilometer_per_hour
2023-02-04 00:48:38.324448,11.0 kilometer_per_hour
2023-02-04 00:48:38.364385,12.0 kilometer_per_hour
2023-02-04 00:48:38.404489,12.0 kilometer_per_hour
2023-02-04 00:48:38.444526,12.0 kilometer_per_hour
2023-02-04 00:48:38.484469,12.0 kilometer_per_hour
2023-02-04 00:48:38.524889,12.0 kilometer_per_hour
2023-02-04 00:48:38.564489,12.0 kilometer_per_hour
2023-02-04 00:48:38.604607,12.0 kilometer_per_hour
2023-02-04 00:48:38.644899,12.0 kilometer_per_hour
2023-02-04 00:48:38.684525,12.0 kilometer_per_hour
2023-02-04 00:48:38.724452,12.0 kilometer_per_hour
2023-02-04 00:48:38.765576,12.0 kilometer_per_hour
2023-02-04 00:48:38.805056,12.0 kilometer_per_hour
2023-02-04 00:48:38.844528,12.0 kilometer_per_hour
2023-02-04 00:48:38.884610,12.0 kilometer_per_hour
2023-02-04 00:48:38.924714,12.0 kilometer_per_hour
2023-02-04 00:48:38.964617,12.0 kilometer_per_hour
2023-02-04 00:48:39.004685,13.0 kilometer_per_hour
2023-02-04 00:48:39.044621,12.0 kilometer_per_hour
2023-02-04 00:48:39.085580,13.0 kilometer_per_hour
2023-02-04 00:48:39.124744,13.0 kilometer_per_hour
